Season,Team,Avg Powerplay Runs,Avg Death Overs Runs,Total Runs,Overs Played,Avg Runs Per Over,Win % After Winning Toss,Win % After Losing Toss,Win % When Batting First,Win % When Fielding First,Total 4s,Total 6s,Highest Score,Lowest Score,Matches Played,Wins,Winning Percentage
2009,Sunrisers Hyderabad,56.25,34.42857143,2408,304.6666667,7.903719912,0,56.25,87.5,25,173,99,184,100,16,9,56.25
2010,Chennai Super Kings,55.625,38.2,2604,312.1666667,8.341697811,60,50,70,33.33333333,212,98,246,112,16,9,56.25
2010,Delhi Capitals,59.5,31.42857143,2155,271.8333333,7.927651747,0,50,66.66666667,20,190,58,188,111,14,7,50
2010,Kolkata Knight Riders,52.28571429,33.28571429,2144,272.3333333,7.872705018,57.14285714,42.85714286,62.5,33.33333333,199,63,200,109,14,7,50
2010,Mumbai Indians,57.5,44.875,2738,317,8.637223975,66.66666667,71.42857143,90,33.33333333,261,75,218,133,16,11,68.75
2010,Punjab Kings,55.07142857,38.57142857,2288,276.1666667,8.284852142,0,28.57142857,33.33333333,25,234,58,204,112,14,4,28.57142857
2010,Rajasthan Royals,54.42857143,33.66666667,2179,268,8.130597015,50,37.5,71.42857143,14.28571429,202,74,223,92,14,6,42.85714286
2010,Royal Challengers Bengaluru,52.1875,38.84615385,2401,294.1666667,8.16203966,0,50,40,54.54545455,214,77,204,86,16,8,50
2010,Sunrisers Hyderabad,51.9375,28.5,2374,311.3333333,7.625267666,0,50,80,36.36363636,197,84,190,82,16,8,50
2011,Chennai Super Kings,44.5625,40.5,2560,314.8333333,8.131286395,77.77777778,57.14285714,69.23076923,66.66666667,204,91,205,128,16,11,68.75
2011,Delhi Capitals,46.5,36.84615385,2087,266,7.845864662,0,28.57142857,28.57142857,28.57142857,185,75,231,95,14,4,28.57142857
2011,Kolkata Knight Riders,47.53333333,31.41666667,2023,269.3333333,7.511138614,71.42857143,37.5,66.66666667,33.33333333,191,45,175,85,15,8,53.33333333
2011,Mumbai Indians,47.375,34.8,2288,307.5,7.440650407,50,70,50,83.33333333,221,57,182,87,16,10,62.5
2011,Punjab Kings,53.28571429,29.07142857,2224,274.5,8.102003643,0,50,37.5,66.66666667,219,74,232,112,14,7,50
2011,Rajasthan Royals,45.53846154,26.2,1687,235.6666667,7.158415842,57.14285714,33.33333333,40,50,153,42,159,81,13,6,46.15384615
2011,Royal Challengers Bengaluru,56.1875,30.85714286,2469,293.8333333,8.402722632,0,62.5,80,54.54545455,225,94,205,121,16,10,62.5
2011,Sunrisers Hyderabad,49.5,35,2140,279.3333333,7.661097852,0,42.85714286,75,30,194,48,198,129,14,6,42.85714286
2012,Chennai Super Kings,51,41.41176471,2831,353.3333333,8.012264151,57.14285714,54.54545455,58.33333333,50,223,102,222,110,18,10,55.55555556
2012,Delhi Capitals,56.61111111,29.92307692,2645,320.6666667,8.248440748,0,61.11111111,60,62.5,232,97,207,93,18,11,61.11111111
2012,Kolkata Knight Riders,52,33.5,2504,324.8333333,7.708568497,71.42857143,70,77.77777778,62.5,210,69,192,127,17,12,70.58823529
2012,Mumbai Indians,45.70588235,32.17647059,2462,331,7.438066465,54.54545455,66.66666667,40,66.66666667,219,80,197,92,17,10,58.82352941
2012,Punjab Kings,47.25,34.125,2390,313.5,7.623604466,0,50,50,50,226,61,194,116,16,8,50
2012,Rajasthan Royals,51.5625,35.8125,2516,315.6666667,7.970432946,30,66.66666667,40,45.45454545,246,69,197,126,16,7,43.75
2012,Royal Challengers Bengaluru,47.13333333,41.53333333,2472,296.1666667,8.34665166,0,53.33333333,75,28.57142857,186,118,215,123,15,8,53.33333333
2012,Sunrisers Hyderabad,48.46666667,38,2312,294.5,7.850594228,0,26.66666667,33.33333333,22.22222222,188,77,196,100,15,4,26.66666667
